model,total_queries,crime_mentions_count,example
llama-scope,8292,227,"The parents of 12 -year -old L oyal Grand staff accused a teacher from B ue ker Middle School of attacking their son 's religious convictions after the teacher reportedly stopped the student from reading the Bible during some free time . However , B ue ker Middle School Principal Lance Tob in told The Christian Post that upon investigating the matter the incident was found to be false . ""The incident was never validated ,"" Tob in told CP , adding that the original claim derived from a local media story . "" Fox 4 News ran the report before we had the chance to look into the incident ourselves ,"" he asserted . "" All is good at B MS !"" On Monday"
llama-scope,8292,227,"watch Him do amazing things ."" Pre -C OVID , it was hard to imagine any sort of spiritual attack coming , but B ost wick began laying the foundation for obedience anyway . He immediately thought to host an event a night of worship and testimony proclaim ing the Lord 's power and started considering his options . Location was the first hurdle . After initially considering Pry or , Oklahoma , B ost wick found an opportunity in downtown Bart les ville . Then came the event itself what artists could he find to play ? His most important concern was that the event be more than merely a Christian concert or music festival . It had to be a significant night of worship"
llama-scope,8292,227,"phrases not always thought seamlessly compatible , but let that pass for now . The UK government 's statement drops the happy talk and non -binding bit , and stresses that it wants a 150 0 -bed facility , which will house 300 -plus prisoners now serving long -term sentences in Britain , with more to come in future . "" The prison is expected to be built by 202 0 and from then returns will get underway ,"" says Downing Street . "" The Prison er Transfer Agreement is expected to save British taxpayers around 10 million a year ."" Cameron added that It is absolutely right that foreign criminals who break our laws are properly punished but this shouldn 't"
llama-scope,8292,227,". We had a mayor from a small town who made gun violence a cause years ago , standing alongside high school juni ors and a pair of 8 th grade girls who led us in chants . "" What do we need ?"" Change . "" When do we need it ?"" Now . One pastor spoke , a colleague in the U CC . I thought about what I might have said in his place . What an opportunity ! There weren 't a lot of overt ly religious signs among the mostly -white crowd . I have the same sense of a lost narrative that I had during the Black Lives Matter protests of 201 4 . There is a counter -cultural"
llama-scope,8292,227,"invasion . Church es , priests and businesses of the generally prosperous , well -educated community have been attacked by militants who den ounce Christians as pro -American "" cr us aders ."" The body of Paul os Rah ho , the Ch al de an Catholic arch bishop of Mosul , also was found in March following his abduction by gunmen after a Mass . Su vara Sh ams un Har oun , a 25 -year -old Christian woman who voted Saturday in Tel Ka if , pointed out that insurgents target all Iraq is "" but sometimes they try to drive a wedge between the Arabs and the Christians ."" Her mother Wir g ania Sham well expressed hope the Christian candidate chosen would"
llama3-8b-it-res-jh,1225,40,"or remote conflicts , occur . D iss oci ation , the media and politics : According to Dr . Ros enthal , the media encourage mass dissoci ation when calam ities such as war are covered in a sanitized manner and include commentary that d rips with lies . D oubles peak , she says , promotes dissoci ation to make the unacceptable acceptable . In vasion is defense ; civilian deaths are collateral damage ; a freedom fighter is a terrorist working for us ; and a terrorist is a freedom fighter working for them . Polit icians revel in doubles peak . D iss oci ation separates contradictory experiences to avoid internal conflict , making it possible to love our"
llama3-8b-it-res-jh,1225,40,"who fired numerous times inside the First Baptist Church in S utherland Springs , Texas , as 26 -year -old Devin Patrick Kelley . Advertisement The New York Times confirms that at least two anonymous law -en forcement sources told the outlet that Kelley , who lived in New Braun f els , Texas , was the perpetrator in the Sunday -m orning attack that left 26 people dead . Vict ims ranged in age from 5 to 72 and included a pregnant woman and several children . The Times reports that Kelley had served in the Air Force at a base in New Mexico and died shortly after he opened fire at the church . Advertisement Kel ley was armed"
llama3-8b-it-res-jh,1225,40,"can be an ar du ous and costly process , especially for those without the financial means to access services . Surv ivors often require long -term care , such as physical therapy or mental health treatment to deal with the aftermath of such traumatic injuries . Past studies have included long -term rehabilitation and a variety of other factors when calculating the cost of gun violence , but the majority focus on specific states . In one recent analysis , published in February , Dr . Ted Miller of the Pacific Institute and First Coast News determined that gun violence costs each Florida resident $ 740 every year . The model included estimated costs to the criminal justice system , loss of work ,"
llama3-8b-it-res-jh,1225,40,"Ohio , but he gave no indication Wednesday of what his plans are . | Pete Mar ovich /Getty Images Cord ray to resign from C FP B , cloud ing future of watchdog agency Richard Cord ray , the emb att led director of the Consumer Financial Protection Bureau , will resign his post at the end of the month , giving President Donald Trump the chance to reshape an agency that has drawn relentless attacks from businesses over its aggressive enforcement . C ord ray made the announcement in an email to bureau staff on Wednesday . Story Continued Below ""It has been a joy of my life to have the opportunity to serve our country as the first director of the Consumer"
llama3-8b-it-res-jh,1225,40,"School in 196 4 and has been a practicing lawyer since . Bill specialized in military law and practiced in Asia and Europe . He later became the editor in chief of the Military Law Reporter in Washington for a number of years . In the 70 s and 80 s he was a staff counsel of the Center for Constitutional Rights in New York City . In the late 80 s , he was an adjunct professor at John J . College of Criminal Justice of the City University of New York where he taught courses on propaganda and dis information . In addition to being a practicing lawyer , Bill was a journalist , publisher and a writer specializing in intelligence"
combined_common_features.csv,1225,40,"or remote conflicts , occur . D iss oci ation , the media and politics : According to Dr . Ros enthal , the media encourage mass dissoci ation when calam ities such as war are covered in a sanitized manner and include commentary that d rips with lies . D oubles peak , she says , promotes dissoci ation to make the unacceptable acceptable . In vasion is defense ; civilian deaths are collateral damage ; a freedom fighter is a terrorist working for us ; and a terrorist is a freedom fighter working for them . Polit icians revel in doubles peak . D iss oci ation separates contradictory experiences to avoid internal conflict , making it possible to love our"
combined_common_features.csv,1225,40,"who fired numerous times inside the First Baptist Church in S utherland Springs , Texas , as 26 -year -old Devin Patrick Kelley . Advertisement The New York Times confirms that at least two anonymous law -en forcement sources told the outlet that Kelley , who lived in New Braun f els , Texas , was the perpetrator in the Sunday -m orning attack that left 26 people dead . Vict ims ranged in age from 5 to 72 and included a pregnant woman and several children . The Times reports that Kelley had served in the Air Force at a base in New Mexico and died shortly after he opened fire at the church . Advertisement Kel ley was armed"
combined_common_features.csv,1225,40,"can be an ar du ous and costly process , especially for those without the financial means to access services . Surv ivors often require long -term care , such as physical therapy or mental health treatment to deal with the aftermath of such traumatic injuries . Past studies have included long -term rehabilitation and a variety of other factors when calculating the cost of gun violence , but the majority focus on specific states . In one recent analysis , published in February , Dr . Ted Miller of the Pacific Institute and First Coast News determined that gun violence costs each Florida resident $ 740 every year . The model included estimated costs to the criminal justice system , loss of work ,"
combined_common_features.csv,1225,40,"Ohio , but he gave no indication Wednesday of what his plans are . | Pete Mar ovich /Getty Images Cord ray to resign from C FP B , cloud ing future of watchdog agency Richard Cord ray , the emb att led director of the Consumer Financial Protection Bureau , will resign his post at the end of the month , giving President Donald Trump the chance to reshape an agency that has drawn relentless attacks from businesses over its aggressive enforcement . C ord ray made the announcement in an email to bureau staff on Wednesday . Story Continued Below ""It has been a joy of my life to have the opportunity to serve our country as the first director of the Consumer"
combined_common_features.csv,1225,40,"School in 196 4 and has been a practicing lawyer since . Bill specialized in military law and practiced in Asia and Europe . He later became the editor in chief of the Military Law Reporter in Washington for a number of years . In the 70 s and 80 s he was a staff counsel of the Center for Constitutional Rights in New York City . In the late 80 s , he was an adjunct professor at John J . College of Criminal Justice of the City University of New York where he taught courses on propaganda and dis information . In addition to being a practicing lawyer , Bill was a journalist , publisher and a writer specializing in intelligence"
gpt2sm-kk,4186,299,"<|endoftext|> pel let guns . No doubt the ATF is taking notes from the FBI , who provided a w ann abe terrorist with dummy explosives loaded in a van personally chau ffe ured by an FBI agent to the intended blast site . The ATF has a standard playbook for such operations , said Judge William J . Bauer in a Seventh Circuit Court of Appeals opinion . The facts between cases are frequently nearly identical . In United States v . May field , an ATF informant knew that his co - worker , 41 - year - old Leslie May field , had a criminal past , although fairly"
gpt2sm-kk,4186,299,"<|endoftext|> by clergy or church workers , said Lomb ardi . The pope reiterated the church s commitment to hear all victims and deliver justice that the guilty be punished and crimes of abuse be comb ated with an effective prevention program in the church and in society , said the spokesman . The pope thanked the victims for their essential contribution to restore the truth and begin the journey of healing . The meeting lasted about half an hour and ended with the blessing of the Holy Father . The group was accompanied by Cardinal Se n Patrick O Malley , arch bishop of Boston and chair of"
gpt2sm-kk,4186,299,"<|endoftext|> Asked how the state calculated her eligibility for parole , less than two years into her prison term , DPS CS media relations specialist Gerard Shields explained it this way : She has a seven - year sentence , but because the crime is considered non - violent , she is eligible for parole after serving 25 % of it , Shields said . It does seem quick , he agreed . Dr unk Driving History The Cook case ro iled the church and outraged the city s bicy cling community . The first - ever female bishop for the Maryland di ocese , Cook"
gpt2sm-kk,4186,299,"<|endoftext|> 20 days after the pap acy becomes vacant , meaning it cannot begin before March 15 under the current rules given Benedict s date to step down . Some card inals believe a con clave should start sooner than March 15 in order to reduce the time in which the Roman Catholic Church will be without a leader at a time of crisis . B ened ict s pap acy was rocked by scandals over the sex abuse of children by priests in Europe and the United States , most of which preceded his time in office but came to light during it . His reign also saw Muslim anger after he compared Islam to violence ."
gpt2sm-kk,4186,299,"<|endoftext|> any more . Young people are criminal ized while penny - p inch ing perpet rates this im me as urable crime against youth . Penn ies are no longer in use except when it comes to libraries . When amalg amation was forced on Toronto in 1998 , libraries got just over 2 cents ' worth of every budget dollar . Since then , the amount has decreased . Acqu isitions , staffing , access and buildings have all suffered . This rescue meeting proposes restoration and reinvest ment to the tune of 4 cents a day per resident . Over the last 20 years , there 's been a 44 per cent increase in library usage while the 98 - library"
