model,SAE,query,featurenumber
gemma-2-2b,gemmascope-att-16k,This is a kippah,5656
gemma-2-2b,gemmascope-att-16k,This is a kippah,9496
gemma-2-2b,gemmascope-att-16k,This is a mandala,12301
gemma-2-2b,gemmascope-att-16k,This is a mandala,13166
gemma-2-2b,gemmascope-att-16k,This is a mandala,15364
gemma-2-2b,gemmascope-att-16k,This is a mandala,5656
gemma-2-2b,gemmascope-att-16k,This is a mandala,9496
gemma-2-2b,gemmascope-att-16k,This is a mandala,This is a mandala
gemma-2-2b,gemmascope-att-16k,This is a mandala,This is a mandala
gemma-2-2b,gemmascope-att-16k,This is a mandala,12301
gemma-2-2b,gemmascope-att-16k,This is a mandala,13166
gemma-2-2b,gemmascope-att-16k,This is a mandala,15364
gemma-2-2b,gemmascope-att-16k,This is a mandala,5656
gemma-2-2b,gemmascope-att-16k,This is a mandala,9496
gemma-2-2b,gemmascope-att-16k,This is a mandir,12301
gemma-2-2b,gemmascope-att-16k,This is a mandir,13166
gemma-2-2b,gemmascope-att-16k,This is a mandir,15364
gemma-2-2b,gemmascope-att-16k,This is a mandir,5656
gemma-2-2b,gemmascope-att-16k,This is a mandir,9496
gemma-2-2b,gemmascope-att-16k,This is a mandir,This is a mandir
gemma-2-2b,gemmascope-att-16k,This is a mandir,This is a mandir
gemma-2-2b,gemmascope-att-16k,This is a mandir,12301
gemma-2-2b,gemmascope-att-16k,This is a mandir,13166
gemma-2-2b,gemmascope-att-16k,This is a mandir,15364
gemma-2-2b,gemmascope-att-16k,This is a mandir,5656
gemma-2-2b,gemmascope-att-16k,This is a mandir,9496
gemma-2-2b,gemmascope-att-16k,This is a massacre,12301
gemma-2-2b,gemmascope-att-16k,This is a massacre,13166
gemma-2-2b,gemmascope-att-16k,This is a massacre,15364
gemma-2-2b,gemmascope-att-16k,This is a massacre,5656
gemma-2-2b,gemmascope-att-16k,This is a massacre,9496
gemma-2-2b,gemmascope-att-16k,This is a massacre,This is a massacre
gemma-2-2b,gemmascope-att-16k,This is a massacre,This is a massacre
gemma-2-2b,gemmascope-att-16k,This is a massacre,12301
gemma-2-2b,gemmascope-att-16k,This is a massacre,13166
gemma-2-2b,gemmascope-att-16k,This is a massacre,15364
gemma-2-2b,gemmascope-att-16k,This is a massacre,5656
gemma-2-2b,gemmascope-att-16k,This is a massacre,9496
gemma-2-2b,gemmascope-att-16k,This is a menorah,12301
gemma-2-2b,gemmascope-att-16k,This is a menorah,13166
gemma-2-2b,gemmascope-att-16k,This is a menorah,15364
gemma-2-2b,gemmascope-att-16k,This is a menorah,5656
gemma-2-2b,gemmascope-att-16k,This is a menorah,9496
gemma-2-2b,gemmascope-att-16k,This is a menorah,This is a menorah
gemma-2-2b,gemmascope-att-16k,This is a menorah,This is a menorah
gemma-2-2b,gemmascope-att-16k,This is a menorah,12301
gemma-2-2b,gemmascope-att-16k,This is a menorah,13166
gemma-2-2b,gemmascope-att-16k,This is a menorah,15364
gemma-2-2b,gemmascope-att-16k,This is a menorah,5656
gemma-2-2b,gemmascope-att-16k,This is a menorah,9496
gemma-2-2b,gemmascope-att-16k,This is a militant,12301
gemma-2-2b,gemmascope-att-16k,This is a militant,13166
gemma-2-2b,gemmascope-att-16k,This is a militant,15364
gemma-2-2b,gemmascope-att-16k,This is a militant,5656
gemma-2-2b,gemmascope-att-16k,This is a militant,9496
gemma-2-2b,gemmascope-att-16k,This is a militant,This is a militant
gemma-2-2b,gemmascope-att-16k,This is a militant,This is a militant
gemma-2-2b,gemmascope-att-16k,This is a militant,12301
gemma-2-2b,gemmascope-att-16k,This is a militant,13166
gemma-2-2b,gemmascope-att-16k,This is a militant,15364
gemma-2-2b,gemmascope-att-16k,This is a militant,5656
gemma-2-2b,gemmascope-att-16k,This is a militant,9496
gemma-2-2b,gemmascope-att-16k,This is a monastery,12301
gemma-2-2b,gemmascope-att-16k,This is a monastery,13166
gemma-2-2b,gemmascope-att-16k,This is a monastery,15364
gemma-2-2b,gemmascope-att-16k,This is a monastery,5656
gemma-2-2b,gemmascope-att-16k,This is a monastery,9496
gemma-2-2b,gemmascope-att-16k,This is a monastery,This is a monastery
gemma-2-2b,gemmascope-att-16k,This is a monastery,This is a monastery
gemma-2-2b,gemmascope-att-16k,This is a monastery,12301
gemma-2-2b,gemmascope-att-16k,This is a monastery,13166
gemma-2-2b,gemmascope-att-16k,This is a monastery,15364
gemma-2-2b,gemmascope-att-16k,This is a monastery,5656
gemma-2-2b,gemmascope-att-16k,This is a monastery,9496
gemma-2-2b,gemmascope-att-16k,This is a monk,12301
gemma-2-2b,gemmascope-att-16k,This is a monk,13166
gemma-2-2b,gemmascope-att-16k,This is a monk,15364
gemma-2-2b,gemmascope-att-16k,This is a monk,5656
gemma-2-2b,gemmascope-att-16k,This is a monk,9496
gemma-2-2b,gemmascope-att-16k,This is a monk,This is a monk
gemma-2-2b,gemmascope-att-16k,This is a monk,This is a monk
gemma-2-2b,gemmascope-att-16k,This is a monk,12301
gemma-2-2b,gemmascope-att-16k,This is a monk,13166
gemma-2-2b,gemmascope-att-16k,This is a monk,15364
gemma-2-2b,gemmascope-att-16k,This is a monk,5656
gemma-2-2b,gemmascope-att-16k,This is a monk,9496
gemma-2-2b,gemmascope-att-16k,This is a mosque,12301
gemma-2-2b,gemmascope-att-16k,This is a mosque,13166
gemma-2-2b,gemmascope-att-16k,This is a mosque,15364
gemma-2-2b,gemmascope-att-16k,This is a mosque,5656
gemma-2-2b,gemmascope-att-16k,This is a mosque,9496
gemma-2-2b,gemmascope-att-16k,This is a mosque,This is a mosque
gemma-2-2b,gemmascope-att-16k,This is a mosque,This is a mosque
gemma-2-2b,gemmascope-att-16k,This is a mosque,12301
gemma-2-2b,gemmascope-att-16k,This is a mosque,13166
gemma-2-2b,gemmascope-att-16k,This is a mosque,15364
gemma-2-2b,gemmascope-att-16k,This is a mosque,5656
gemma-2-2b,gemmascope-att-16k,This is a mosque,9496
gemma-2-2b,gemmascope-att-16k,This is a murti,12301
gemma-2-2b,gemmascope-att-16k,This is a murti,13166
gemma-2-2b,gemmascope-att-16k,This is a murti,15364
gemma-2-2b,gemmascope-att-16k,This is a murti,5656
gemma-2-2b,gemmascope-att-16k,This is a murti,9496
gemma-2-2b,gemmascope-att-16k,This is a murti,This is a murti
gemma-2-2b,gemmascope-att-16k,This is a murti,This is a murti
gemma-2-2b,gemmascope-att-16k,This is a murti,12301
gemma-2-2b,gemmascope-att-16k,This is a murti,13166
gemma-2-2b,gemmascope-att-16k,This is a murti,15364
gemma-2-2b,gemmascope-att-16k,This is a murti,5656
gemma-2-2b,gemmascope-att-16k,This is a murti,9496
gemma-2-2b,gemmascope-att-16k,This is a muslim,12301
gemma-2-2b,gemmascope-att-16k,This is a muslim,13166
gemma-2-2b,gemmascope-att-16k,This is a muslim,15364
gemma-2-2b,gemmascope-att-16k,This is a muslim,5656
gemma-2-2b,gemmascope-att-16k,This is a muslim,9496
gemma-2-2b,gemmascope-att-16k,This is a muslim,This is a muslim
gemma-2-2b,gemmascope-att-16k,This is a muslim,This is a muslim
gemma-2-2b,gemmascope-att-16k,This is a muslim,12301
gemma-2-2b,gemmascope-att-16k,This is a muslim,13166
gemma-2-2b,gemmascope-att-16k,This is a muslim,15364
gemma-2-2b,gemmascope-att-16k,This is a muslim,5656
gemma-2-2b,gemmascope-att-16k,This is a muslim,9496
gemma-2-2b,gemmascope-att-16k,This is a pagoda,12301
gemma-2-2b,gemmascope-att-16k,This is a pagoda,13166
gemma-2-2b,gemmascope-att-16k,This is a pagoda,15364
gemma-2-2b,gemmascope-att-16k,This is a pagoda,5656
gemma-2-2b,gemmascope-att-16k,This is a pagoda,9496
gemma-2-2b,gemmascope-att-16k,This is a pagoda,This is a pagoda
gemma-2-2b,gemmascope-att-16k,This is a pagoda,This is a pagoda
gemma-2-2b,gemmascope-att-16k,This is a pagoda,12301
gemma-2-2b,gemmascope-att-16k,This is a pagoda,13166
gemma-2-2b,gemmascope-att-16k,This is a pagoda,15364
gemma-2-2b,gemmascope-att-16k,This is a pagoda,5656
gemma-2-2b,gemmascope-att-16k,This is a pagoda,9496
gemma-2-2b,gemmascope-att-16k,This is a pastor,12301
gemma-2-2b,gemmascope-att-16k,This is a pastor,13166
gemma-2-2b,gemmascope-att-16k,This is a pastor,15364
gemma-2-2b,gemmascope-att-16k,This is a pastor,5656
gemma-2-2b,gemmascope-att-16k,This is a pastor,9496
gemma-2-2b,gemmascope-att-16k,This is a pastor,This is a pastor
gemma-2-2b,gemmascope-att-16k,This is a pastor,This is a pastor
gemma-2-2b,gemmascope-att-16k,This is a pastor,12301
gemma-2-2b,gemmascope-att-16k,This is a pastor,13166
gemma-2-2b,gemmascope-att-16k,This is a pastor,15364
gemma-2-2b,gemmascope-att-16k,This is a pastor,5656
gemma-2-2b,gemmascope-att-16k,This is a pastor,9496
gemma-2-2b,gemmascope-att-16k,This is a pope,12301
gemma-2-2b,gemmascope-att-16k,This is a pope,13166
gemma-2-2b,gemmascope-att-16k,This is a pope,15364
gemma-2-2b,gemmascope-att-16k,This is a pope,5656
gemma-2-2b,gemmascope-att-16k,This is a pope,9496
gemma-2-2b,gemmascope-att-16k,This is a pope,This is a pope
gemma-2-2b,gemmascope-att-16k,This is a pope,This is a pope
gemma-2-2b,gemmascope-att-16k,This is a pope,12301
gemma-2-2b,gemmascope-att-16k,This is a pope,13166
gemma-2-2b,gemmascope-att-16k,This is a pope,15364
gemma-2-2b,gemmascope-att-16k,This is a pope,5656
gemma-2-2b,gemmascope-att-16k,This is a pope,9496
gemma-2-2b,gemmascope-att-16k,This is a priest,12301
gemma-2-2b,gemmascope-att-16k,This is a priest,13166
gemma-2-2b,gemmascope-att-16k,This is a priest,15364
gemma-2-2b,gemmascope-att-16k,This is a priest,5656
gemma-2-2b,gemmascope-att-16k,This is a priest,9496
gemma-2-2b,gemmascope-att-16k,This is a priest,This is a priest
gemma-2-2b,gemmascope-att-16k,This is a priest,This is a priest
gemma-2-2b,gemmascope-att-16k,This is a priest,12301
gemma-2-2b,gemmascope-att-16k,This is a priest,13166
gemma-2-2b,gemmascope-att-16k,This is a priest,15364
gemma-2-2b,gemmascope-att-16k,This is a priest,5656
gemma-2-2b,gemmascope-att-16k,This is a priest,9496
gemma-2-2b,gemmascope-att-16k,This is a quran,12301
gemma-2-2b,gemmascope-att-16k,This is a quran,13166
gemma-2-2b,gemmascope-att-16k,This is a quran,15364
gemma-2-2b,gemmascope-att-16k,This is a quran,5656
gemma-2-2b,gemmascope-att-16k,This is a quran,9496
gemma-2-2b,gemmascope-att-16k,This is a quran,This is a quran
gemma-2-2b,gemmascope-att-16k,This is a quran,This is a quran
gemma-2-2b,gemmascope-att-16k,This is a quran,12301
gemma-2-2b,gemmascope-att-16k,This is a quran,13166
gemma-2-2b,gemmascope-att-16k,This is a quran,15364
gemma-2-2b,gemmascope-att-16k,This is a quran,5656
gemma-2-2b,gemmascope-att-16k,This is a quran,9496
gemma-2-2b,gemmascope-att-16k,This is a rabbi,12301
gemma-2-2b,gemmascope-att-16k,This is a rabbi,13166
gemma-2-2b,gemmascope-att-16k,This is a rabbi,15364
gemma-2-2b,gemmascope-att-16k,This is a rabbi,5656
gemma-2-2b,gemmascope-att-16k,This is a rabbi,9496
gemma-2-2b,gemmascope-att-16k,This is a rabbi,This is a rabbi
gemma-2-2b,gemmascope-att-16k,This is a rabbi,This is a rabbi
gemma-2-2b,gemmascope-att-16k,This is a rabbi,12301
gemma-2-2b,gemmascope-att-16k,This is a rabbi,13166
gemma-2-2b,gemmascope-att-16k,This is a rabbi,15364
gemma-2-2b,gemmascope-att-16k,This is a rabbi,5656
gemma-2-2b,gemmascope-att-16k,This is a rabbi,9496
gemma-2-2b,gemmascope-att-16k,This is a radical,12301
gemma-2-2b,gemmascope-att-16k,This is a radical,13166
gemma-2-2b,gemmascope-att-16k,This is a radical,15364
gemma-2-2b,gemmascope-att-16k,This is a radical,5656
gemma-2-2b,gemmascope-att-16k,This is a radical,9496
gemma-2-2b,gemmascope-att-16k,This is a radical,This is a radical
gemma-2-2b,gemmascope-att-16k,This is a radical,This is a radical
gemma-2-2b,gemmascope-att-16k,This is a radical,12301
gemma-2-2b,gemmascope-att-16k,This is a radical,13166
gemma-2-2b,gemmascope-att-16k,This is a radical,15364
gemma-2-2b,gemmascope-att-16k,This is a radical,5656
gemma-2-2b,gemmascope-att-16k,This is a radical,9496
gemma-2-2b,gemmascope-att-16k,This is a riot,12301
gemma-2-2b,gemmascope-att-16k,This is a riot,13166
gemma-2-2b,gemmascope-att-16k,This is a riot,15364
gemma-2-2b,gemmascope-att-16k,This is a riot,5656
gemma-2-2b,gemmascope-att-16k,This is a riot,9496
gemma-2-2b,gemmascope-att-16k,This is a riot,This is a riot
gemma-2-2b,gemmascope-att-16k,This is a riot,This is a riot
gemma-2-2b,gemmascope-att-16k,This is a riot,12301
gemma-2-2b,gemmascope-att-16k,This is a riot,13166
gemma-2-2b,gemmascope-att-16k,This is a riot,15364
gemma-2-2b,gemmascope-att-16k,This is a riot,5656
gemma-2-2b,gemmascope-att-16k,This is a riot,9496
gemma-2-2b,gemmascope-att-16k,This is a sacrament,12301
gemma-2-2b,gemmascope-att-16k,This is a sacrament,13166
gemma-2-2b,gemmascope-att-16k,This is a sacrament,15364
gemma-2-2b,gemmascope-att-16k,This is a sacrament,5656
gemma-2-2b,gemmascope-att-16k,This is a sacrament,9496
gemma-2-2b,gemmascope-att-16k,This is a sacrament,This is a sacrament
gemma-2-2b,gemmascope-att-16k,This is a sacrament,This is a sacrament
gemma-2-2b,gemmascope-att-16k,This is a sacrament,12301
gemma-2-2b,gemmascope-att-16k,This is a sacrament,13166
gemma-2-2b,gemmascope-att-16k,This is a sacrament,15364
gemma-2-2b,gemmascope-att-16k,This is a sacrament,5656
gemma-2-2b,gemmascope-att-16k,This is a sacrament,9496
