model,total_queries,geo_south_america_mentions_count,queries_with_geo_south_america_mentions,example
gpt2-small/att-kk,8269,101,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<|endoftext|> performers for Colombia this season , making his comeback from a serious knee injury at the Tour de Su isse last season . The test event earlier this month showed that the rolling road race course is well suited to punch y climbers . Hen ao recently put in a good showing at the Tour de P ologne , going into the final day in the race lead after taking a stage win . He would eventually lose that lead in the time trial . Qu int ana finished second at the Tour de France behind Chris Fro ome and claimed victory in the World Tour classified Tir ren o - Ad ri atic o . The final climb is not tough enough for Quint"
gpt2-small/att-kk,8269,101,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<|endoftext|> the human rights so dear to Europeans hearts . The EU cannot be a genuine leader in climate negotiations while at the same time supporting destructive practices that will affect billions of lives . This is why the EU needs a new climate narrative . Europe could win big by reinvest ing in its ability to lead by example . Given the aust ere economic context , it is unlikely that it will be able to lead by using carrots and sticks as it used to do in the past . Instead , a less costly option would be to reaff irm its role as a normative power . End ors ing fossil fuel divest ment and taking measures"
gpt2-small/att-kk,8269,101,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<|endoftext|> This is not a new problem . I remember being thrilled by the clim actic shot in the Mission : Impossible trailers which all ended with Tom Cruise leaping from an exploding helicopter onto a speeding train . I was less thrilled when I realized during the movie that I already knew how the main villain was going to die and how the climax was going to end . D itto the third trailer for Spider - Man which literally showed Spider - Man catching Mary Jane in mid - air following her being tossed off a bridge . I 'm thinking of course of the shot of the Hulk catching Tony Stark in mid - air in The Avengers , the very"
gpt2-small/att-kk,8269,101,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<|endoftext|> Washington , yet the US did not rat ify the Pact of San Jose , that is , the American Convention on Human Rights but the headquarters of the organization is in the US and they finance their activities , Cor rea said . This is outrageous and an example of a relationship the US established with developing countries in the form of subord ination . ' US will not be able to hide the truth about Chevron s oil disaster While responding to questions about Chevron - Tex aco s oil damages in Ecuador , Cor rea said that the US would not be able to hide"
llama3.1-8b/llamascope-res-32k,7383,79,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","proud to be part of the Alt itude Team . Through the multi -modal components of this program Alt itude creates safe places and appropriate interventions to help students develop life skills , believe in their own strength and goodness and feel excited about using their time and talent in service to others . Taking place over the course of the entire 8 th grade school year , students participate in workshops , school based clubs , school culture and climate assemblies , community service projects and more . An end of the school year Rally celebrates their success in Taking The Cl imb . We would like to invite you to join us as an Adult Participant at one or more of our our three"
llama3.1-8b/llamascope-res-32k,7383,79,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus",". The average temperature in July is 82 Fahrenheit , ( 82 C ) making it warmer than most of France , while January 's temperatures are a cool 55 Fahrenheit ( 13 C ). Mon aco 's location in sunny south -west ern Europe will never fail to warm you . With daylight savings time , the sun doesn 't set until nearly 10 pm in the summer . Of course , the weather is unpredictable and can be windy and rainy at any time , but when the sun is out , you have a warm Mediterranean climate . Not in Monaco , no , but the nearest ski resort is Is ola 200 0 , 68 miles ( 110"
llama3.1-8b/llamascope-res-32k,7383,79,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","Wilson 's show "" Flip ,"" "" The M uppet Show ,"" "" S es ame Street "" and "" The Love Boat ."" She also played the White Queen in Ir win Allen 's made for TV production of "" Alice in Wonderland ."" A lifelong Democrat , her name appeared on Richard Nixon 's "" en emies list ,"" which she called the highest honor of her career . Ch anning was married four times : to Theodore N aid ish , Alex Carson , Charles Lowe and Harry K ull ij ian . She had one son , Ch anning Lowe , an editorial cartoon ist , who survives her . <|begin_of_text|> Climate change is , at its core , an energy problem ,"
llama3.1-8b/llamascope-res-32k,7383,79,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus",", even har angu ing Texas Tech climate scientist Kath arine Hay hoe at Coun cil , because she actually knows something about the subject . Mayor Steve Adler , Council Member Leslie Pool , and County Commissioner Br igid Shea joined world leaders in a U .N . Conference on Climate Change that actually showed promise of concerted action against global warming : reason for hope . <|begin_of_text|> This is a placeholder page for Al ber ter Franklin , which means this person is not currently on this site . We do suggest using the tools below to find Al ber ter Franklin . You are visiting the placeholder page for Al ber ter Franklin . This page is here because someone used our placeholder"
llama3.1-8b/llamascope-res-32k,7383,79,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","div er , Luis ""I have just received your video ( W illing to Fly ). This is not a video , it is a film for an Oscar . This is a video for all . It shows the sky div ing like an art , not a sport ."" Ev andro Ara u jo - Brazil <|begin_of_text|> Fab ulous and Us Health , beauty , fun ! Listening your way to good health Listening your way to good My husband has been a fan of Podcast s for years . As always , I am definitely behind when it comes to this kind of technology ! 201 9 was time for me to start trying new things . Podcast s were"
gemma-2-9b/gemmascope-res-16k,9675,59,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","average allele frequency is 4 3 %, whereas only 3 5 % of control polymorphisms over shoot the long - term average . This significant excess of adap tively oscillating polymorphisms that become more ' spring - like ' following the frost event ([ Fig . 4 B ](# p gen - 1 0 0 4 7 7 5 - g 0 0 4 ){ ref - type ="" fig ""}; log ~ 2 ~( OR ) = 0 . 4 8 , * p * \< 0 . 0 0 2 ) suggests that these SNPs respond to acute changes in climate and that cold temperatures associated with winter is one selective force acting on this population shaping allele frequencies between seasons ."
gemma-2-9b/gemmascope-res-16k,9675,59,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","fell far short of mand ating actions to limit CFC production or of establishing a timetable to phase it out . Much like the current climate change debate , it looked as if action on the issue was about to be sty mied by a lengthy political struggle . Two months later , scientists discovered the Antarctic ozone hole . From a climate change perspective , this would be comparable to a large ice sheet breaking off from an ice shelf , melting overnight and causing a small rise in sea level , thereby warning the world of the potential consequences of unchecked climate change . Scientists discovered that ozone levels over the Antarctic had dropped by 1 0 per cent during the winter and"
gemma-2-9b/gemmascope-res-16k,9675,59,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","Gran ja R o Ceb allos S ald n Sal si pu edes T inoco Un quillo Villa Allende Villa Cerro Azul Category : Departments of C rdoba Province , Argentina <bos> 1 . Technical Field The present invention relates generally to air conditioning systems and more particularly to an air conditioning system and a method which detects a low - charge state . 2 . Discussion Modern air conditioning systems typically include a compressor , a condenser , a thrott ling device and an evaporator . Operation of the compressor adds heat to a gaseous refrigerant as well as increases its pressure . High - temperature , high - pressure gaseous refrigerant exiting the compressor is delivered"
gemma-2-9b/gemmascope-res-16k,9675,59,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","was kidnapped in Baghdad along with three others : Har meet Singh S ood en ( Canadian ) and Norman Kem ber ( British ), both members of the delegation he was leading ; and Tom Fox ( American ), a full - time member of CPT who had been working in Iraq since September 2 0 0 4 . The widely publicized hostage crisis ( see 2 0 0 5 - 2 0 0 6 Christian Peace maker hostage crisis ) ended on March 2 3 , 2 0 0 6 when L oney , Kem ber and S ood en were freed in a clandestine military operation led by British Special Forces . Tom Fox was killed on March 9"
gemma-2-9b/gemmascope-res-16k,9675,59,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","lys mic events , they must remain steadfast in order to carry out the priority revealed to them by God . It is evident that no believer will escape the greatest tribulation in human history and that only the match less return of the King can deliver mankind from evil s reign . The clima ctic battle between Good and Evil unfolds as Lucifer executes his definitive act of defiance : the global genocide of all Christians . With the sound of the trumpets reverber ating throughout the heavens , the events that have been set in motion must now complete their course . Eternity and the fate of the earth are at stake , and there is no plan B . Far more"
