model,total_queries,geo_africa_mentions_count,queries_with_geo_africa_mentions,example
gemma-2-2b/gemmascope-res-16k,11475,298,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","of the Walt Whitman 1 8 5 6 poem "" Poem of the Body "" in his art , and Mann "" borrow ed the idea , using the poem as a template for [ her ] own exploration "". Several pictures from this body of work were highlighted in Aperture Foundation magazine in the summer of 2 0 1 6 . and they also appeared in A Thousand Cross ings . This book and exhibit also introduced a series of photographs of African American historic churches photographed on expired film , and a series of tint ype photographs of a swamp that served as refuge for escaped slaves . Some critics see in Mann ' s work a deep working through of the legacy"
gemma-2-2b/gemmascope-res-16k,11475,298,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","rave reviews so far . The call for tenders is directly related to his being named , according to sources we spoke with this morning . ZA WA , you ' ll recall , is the new quasi - private organization that was slated to take over all wildlife - related matters in Zambia more than a year ago , which is when the old National Parks Department was disbanded . Since then , Zambia has been without any kind of game department at all . The European Union during this period has had millions of dollars ready to help ZA WA get rolling , but has refused to release the funds until a director general and support"
gemma-2-2b/gemmascope-res-16k,11475,298,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","scene . I only started making the senior teams in 2 0 1 2 . I wouldn t say I m one of the big names in SA swimming , but hopefully in the new year I can be one of them , along with Chad le Clos and Cameron van der Burgh . Brown seems to be a modest person . Although he says he wasn t an especially good swimmer at primary school level , he was offered a swimming scholarship at West ville Boys High School widely believed to be Durban s premier training ground for schoolboy swimmers . However , his parents wanted him to give equal attention to his academic performance"
gemma-2-2b/gemmascope-res-16k,11475,298,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Turkey as the bell we ther states to watch . This is problematic . Though they have been heral ded at times in the past decade , both countries are mist rusted by many Sunni Arabs , who make up the bulk of the Middle East . Owen s book is stimulating and useful but it cannot account for the inde cipher able tangle that emerges when ideological , national and local actors and interests become j umbled . In today s Middle East hundreds of local forces are at play , from the Berber of north Africa to the Kurdish resurgence in the Levant ; from al - Qaeda in the Magh reb to Hiz bollah in Lebanon not to mention"
gemma-2-2b/gemmascope-res-16k,11475,298,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","disobey and follow another path , things will be rough for you . Your enemies will defeat you , and perhaps even worst case scenario carry you off into exile ( file that one away for later ). Note , however , that we re still talking about very earth bound blessings and curses . This is not heaven versus hell , it s success versus failure in this life , in this land , here and now . Deuter onomy makes more sense if we think about the social - religious reality of Israel at this stage in its development . The first generation , the generation that left Egypt and received the law first - hand from Moses at Mt"
gemma-2-9b-it/gemmascope-res-131k,10412,252,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> * p * = 0 . 0 1 8 ). Because the vast majority of seasonal SNPs seg regate in Africa , it appears that adaptation to temperate environments , and particularly winter conditions , relies primarily on old , standing genetic variation . Balancing selection acts to maintain alleles at intermediate frequencies for long periods of time and , in some instances , can maintain polymorphism across species boundaries [@ p gen . 1 0 0 4 7 7 5 - Klein 1 ], [@ p gen . 1 0 0 4 7 7 5 - Le ffler 1 ]. We examined whether seasonal SNPs showed signatures of long - term balancing selection by examining patterns of polymorphism surrounding <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10412,252,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> than 0 . 0 5 ). A constant relationship was found between ph leb itis and the presence of inflammatory infiltrate within the hepatic ac ini . Fib ro tic TH V was a less frequent finding and the lesion disappeared in the sequential biopsies of one of the bab oons . In conclusion , TH V lesions were heterogeneous and the collagen deposition in the TH V wall was potentially reversible during the three year alcohol intoxication period , regardless the inflammatory reaction and , thus , did not indicate early irreversible hap atic fibrosis . <bos> Koch County Koch County is an administrative division of Northern Lie ch , South Sudan , covering an area in the <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10412,252,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> pressures . The recent application suggests a general possibility that plas mons have a substantial effect on $ T _{\ rm c }$, even in cases where it does not alone induce superconducting transition . It is then interesting to apply the present formalism to other high - temperature super conductors "" [@ Pick ett - review - other ] such as layered nit rides , fuller ides , and the bismuth per ovsk ite . Effects of the electron - electron and electron - phon on interactions in these systems have recently been examined from various viewpoints , particularly with * ab initi o * calculations .[ @ Mere gal li - Sav ra sov - BK BO <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10412,252,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> we have another ex - grand prix driver Steph ane Sar azz in . Don t remember the lad ? We wouldn t blame you : he started just one race , in a Min ardi , at the Brazilian Grand Prix of 1 9 9 9 . Then seen as an F 1 racer of the future , Sar azz in was sub bing for the injured Luca B ado er at Inter lagos , and actually qualified rather well , taking 1 7 th on the grid and thus out - doing his team - mate which , fun n ily enough , was the aforementioned Gene . However Sar azz in would exit <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10412,252,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> countries . Vitamin D deficiency has been reported for many countries despite plentiful sunshine ; this relates to few dietary sources and wearing traditional clothing that blocks sunlight from reaching the skin . Several countries including Jordan , Egypt , the United Arab Emirates , Oman and Kuwait have mandatory wheat flour fortification policies in place . All these countries for tify with folic acid and iron , and some include zinc and other vitamins as well . However , rice and maize are also staple foods in these countries and are not fortified , hence micron utri ent deficiencies remain widespread despite the existence of fortification . West , Central and Sub - Saharan Africa The majority <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10163,323,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> Nationality law Category : South Sudanese law <bos> WE PLANT THE "" SE EDS OF IDEAS "" IN DOG OWN ERS MIN DS - THESE IDEAS EVENT UALLY BL OSS OM INTO A BETTER UNDER STANDING OF DOG BEHAV IO UR - Sally Hopkins WE PLANT THE "" SE EDS OF IDEAS "" IN DOG OWN ERS MIN DS - THESE IDEAS EVENT UALLY BL OSS OM INTO A BETTER UNDER STANDING OF DOG BEHAV IO UR - Sally Hopkins T UNA TRACK ING WHAT IS T UNA TRACK ING ? This is not an introduction to working trials type tracking . It is a scent Mind Game that pet dogs can have fun doing <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10163,323,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> , 4 8 6 So . 2 d 4 4 2 ( Ala . Civ . App . 1 9 8 6 ). "" This is because malice is incapable of positive , direct proof and must out of necessity be rested on inferences and deductions from facts which are heard by the trier of fact ."" Thompson at 4 4 5 . The element of malice may be inferred from the conduct of the defendant if no other reasonable explanation exists for his actions . Johnson v . Smith , 5 0 3 So . 2 d 8 6 8 ( Ala . Civ . App . 1 9 8 7 ). Therefore , Crowe <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10163,323,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> A prime example is the present conditions in South Africa . Whites are the victims of a genocide campaign . Should not every BL ack who has hurt a killed a White in that country be required to pay reparations to that WH ite , or to their family ?? libert arian 1 2 3 4 These people live , breath , sleep and eat slavery and racism 2 4 / 7 to the exclusion , AL MOST , of everything else . And everything they do wrong , everything they fail in , every pathology within their group , is blamed on these two things .. per pet rated by white y of course . <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10163,323,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> In 5 Minutes , He Lets the Blind See - la ex http :// www . nytimes . com / 2 0 1 5 / 1 1 / 0 8 / opinion / sunday / in - 5 - minutes - he - lets - the - blind - see . html ?_ r = 0 ====== El te My mom used to tell me about a similar procedure she would perform to help people with cater acts in Africa 3 0 years ago , so I ' m a bit confused . I ' m not saying this isn ' t awesome or special , just a bit curious what has <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10163,323,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<start_of_turn> user <bos> A ' level schools in Zimbabwe in 2 0 1 4 . References Category : Zimbabwe education - related lists Category : 2 0 1 4 in Zimbabwe <bos> Dio cese in the Province of Av ellino , Southern Italy . The city was established by the Lomb ards at an unknown period . There are sulph urous springs in its vicinity . In 1 6 6 4 it was almost completely destroyed . It became an episcopal see under Gregory VII , but its first known bishop is Thomas , in 1 1 7 9 , when the see was a suff ragan of Con za . In 1 5 4 0 under <end_of_turn>"
gpt2-small/res-jb,13731,206,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","It could fly out of the tomb , magically passing through walls of solid rock . But it always returned to the mummy at night . Like the ka , it could only live forever if it was able to find and recognize the body to which it belonged . And this wouldn 't be possible if the body decomp osed ! This is why the Egyptians wanted to preserve the dead in as life - like a state as possible . M umm ification was the guarantee of eternal life . What isn 't known is whether the Egyptians practiced m umm ification to support their religion , OR if they shaped their religious beliefs to go along with their desire for fancy bur ials ,"
gpt2-small/res-jb,13731,206,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","ift ar fast - breaking meal at a sit - in protest at the Rab aa al Ad we ya Mosque in Cairo on July 28 . ( Ed Giles / Getty Images ) More than three weeks after the military coup that ousted this nation s first democratically elected and Islamist president from power , the roots of a violent insurgency are bur rowing fast into the sands of Egypt s Sinai Peninsula . The rapid th ud of machine - gun fire and the explosions of rocket - pro pelled grenades have begun to shatter the silence of the desert days and nights here with startling regular ity , as militants assault"
gpt2-small/res-jb,13731,206,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Hughes on Thursday at 5 : 30 p . m . <|endoftext|> This is a rush transcript . Copy may not be in its final form . J U AN G ON Z LE Z : I wanted to ask you to turn to another country in the Middle East : Libya . Clearly , the U . S .- backed move into Libya , the regime change , the execution of Gaddafi has left , in essence , a failed state there . And I m wondering if you could talk about what s happened there and also the impact on all of North Africa as a result of the situation in Libya right now ."
gpt2-small/res-jb,13731,206,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","The first Homo E rect us fossil is discovered by two 5 th grade tru ants smoking a pipe at the Jacksonville city park . 1999 : H eral ds run through cities on wild must angs yelling , The fucking British are coming ! And they got a shitty sense of style , but sexy accents ! Let s call them Red co ats when they get here . 2008 : Israel ites flee Egypt terrified out of their minds about a serial killer angel going around stabbing anyone s first born kid should they forget to rub sheep blood on their doors . 2009 : Din osaurs officially go extinct"
gpt2-small/res-jb,13731,206,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","of lame superheroes and therefore is automatically including in any list of lame - ass superheroes even if he isn t officially listed . The Wh izz er Secret Identity : Robert L . Frank Origin : In Africa with his doctor father , Frank is bitten by a cob ra . His father inject s him with the blood of a m ongo ose to counteract the cob ra venom . The result : super speed . P owers : He s very , very fast . Appearance : With the name The Wh izz er it may have been a mistake to put him in a bright yellow costume ."
gpt2-small/att-kk,8315,137,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<|endoftext|> minorities . Washington and Qatar is arming the anti - government rebels as they did in Libya . However , Syria is not an easy toast like Libya , Afghanistan or Iraq . But the Jewish Lobby believes that a pro - Israel regime in Damascus is the only way to get rid of Iranian menace . Zionist Jew Danielle P let ka of the American Enterprise Institute ( AE I ), a propaganda arm of Israel Lobby ( A IP AC ) said recently : Syria is the soft under b elly of Iran , Tehran s most important ally , conduit for arms and cash to terrorists . A unique conf luence of American moral purpose and"
gpt2-small/att-kk,8315,137,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<|endoftext|> dark , cold day . Until 1983 , most Western readers would have mistaken the man for Polish espresso . Kap usc inski s first book to appear in English , thanks to the translation of the husband - and - wife team of William R . Brand and Kat ar z yna M roc z k ows ka - Brand , was The Emperor ( orig inally published in Polish in 1978 ), a spell - casting oral history of Ha ile Sel ass ie s rule over Ethiopia . The Emperor was followed in 1985 by what many believe to be Kap usc inski s masterpiece ,"
gpt2-small/att-kk,8315,137,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan",<|endoftext|> strong showing in his preseason debut Tuesday night in a 3 - 2 shootout win over the Washington Capitals at Baltimore Arena . S ved berg split time with Tu uk ka R ask and stopped 12 of 13 shots he faced during regulation and overtime . He was 6 for 8 in the shootout to help the Bruins improve their preseason mark to 2 - 0 . The Swedish net m inder is competing with Chad Johnson for the backup job . Johnson has a rough outing in his preseason debut allowing three goals on eight shots in a 6 - 3 win over the Montreal Canadiens Monday at the Bell Centre . <|endoftext|> ( Twitter / Dan Sc av ino Jr
gpt2-small/att-kk,8315,137,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<|endoftext|> surreal . His miner s light ling ered deep in recess es of totalitarian ism , mystic ism and revolution places where truth begins to lose access to the photos ynthesis of fact . A color ation not often noted by those in opposition to Kap usc inski is that his is the Africa of a man from a subject country who discovered it just as its nations were snapping the le ashes of their colonial masters . In the end , great non fiction writing does not necessarily require any accuracy greater than that of an honest and vividly rendered confusion . The limits of human perception cr ue lly bind us all . K ap usc inski s"
gpt2-small/att-kk,8315,137,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","<|endoftext|> <|endoftext|> This invention , O king , said The uth , will make the Egyptians wiser and will improve their memories ; for it is an el ixir of memory and wisdom that I have discovered . But Th amus replied , Most ingenious The uth , one man has the ability to be get arts , but the ability to judge of their usefulness or harmful ness to their users belongs to another ; and now you , who are the father of letters , have been led by your affection to asc ribe to them a power the opposite of that which they really possess . For this invention will produce forget fulness"
llama3.1-8b/llamascope-res-32k,7862,342,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","hundred people . With the Bur und ian civil war still fresh in people 's minds ( it officially ended in 200 5 ), events such as the December attacks have increased fears of a return to serious armed conflict . And this , in turn , has contributed to a regional refugee crisis . More than 250 , 000 people have so far fled to neighbouring Rwanda , Uganda , Tanzania , and the Democratic Republic of Congo . But as the international presence dwind les the US and other governments have issued broad advice against travel Bur und ians are red ou bling their efforts to stop a return to war . Some of them work for Peace Direct 's local"
llama3.1-8b/llamascope-res-32k,7862,342,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan",laure ates call for dialogue in the Korean Peninsula Leon ardo D elf anti E ating peace food across generations Latest from Bur undi Conflict prevention and early warning Transitional justice and reconciliation Human rights Refuge es and ID Ps Qu atre chant iers pour les artisans de pa ix Bur und ais Trans itional justice and reconciliation Human rights Refuge es and ID Ps Governance Bur und ian refugees begin return from Rwanda in divisive rep atri ation process Trans itional justice and reconciliation and Refuge es and ID Ps More from Kevin McC ann Peace and conflict report : June 201 7 N igeria
llama3.1-8b/llamascope-res-32k,7862,342,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","being one of two contributors to the AU force ( Bur undi being the other ), and the deployment sparked fears that Ethiopia , generally disliked in Somalia , is on deck . Specific references that Somalia had reached a tipping point are similarly neglected ; most reports opt for the standard copy -and -p aste biography . Yet Black hawk Down hasn 't been referenced much either . None of Washington 's s ord id history in Somalia is . All the back -story to Kamp ala has been edited out , leaving it the hollow shell of a "" point lessly brutal "" al -Qaeda attack . A freeze frame of explosions and blood soaked American teenagers for Western consumption . K amp ala 's"
llama3.1-8b/llamascope-res-32k,7862,342,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","of biological diversity . To date , it is deployed through : 8 country programs ( Bur k ina F aso , Cameroon , Guinea B iss au , Mali , Maurit ania , Niger , Democratic Republic of Congo and Sen egal ), which implement their programs and projects and ensure a better anch oring with the global programs and the I UC N Com missions . 4 regional thematic programs ( R TP s ): Forest Conservation , based in Ya ound , Cameroon ; Water Resources and Wet lands , based in Ou ag ad oug ou , Burk ina F aso ; Mar ine and Coastal , based in Dak ar , Sen egal ; Protected Areas and B iod iversity ,"
llama3.1-8b/llamascope-res-32k,7862,342,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","This would be much like S ARS -Co V - 2 causing COVID - 19 , where a novel path ogen encounters a naive host in this case a tree and not a human ."" An outbreak of African sw ine fever in the Eastern Cape , South Africa , was reported by The S ow et an on May 11 . ASF does not affect humans and the consumption of pork is safe , but products from affected pigs can be a source of infection to other pigs . ASF has appeared in the Free State , North West , Northern Cape , Mp um al anga and Gaut eng provinces in the past three years . South African game -f arming is on the"
gemma-2-9b/gemmascope-res-16k,9630,267,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan",", more than one in five nurses considered themselves to be only somewhat or not confident to counsel young people . Nurses from Rwanda showed the highest level of competencies followed by Burundi and South - K ivu . Lack of training in youth - friendly health services or family planning showed significant associations with reporting feeling somehow or not competent . The lack of training , supervision , and guidelines expressed by the nurses is of great concern . Competency - based training in youth - friendly health services is an important approach in improving nurses ' competency level . <bos> Oh , Boo - Hoo , Hillary But Hillary s is not the caricature d , bit chy , ball - breaking toughness"
gemma-2-9b/gemmascope-res-16k,9630,267,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","2 n = 3 8 . In its native territory it grows along river banks in thick ets at elevations of . Taxonomy In his 1 9 7 9 revision of the taxonomy of the African and Asiatic species of Bud dle ja , the Dutch botanist An thon ius Leeuwen berg sank two species , B . legend rei and B . t set ang ensis , as B . altern ifolia on the basis of the similarity in the individual flowers , dismissing the variations in plant structure , flower colour and leaf as attributable to environmental factors . It was Leeuwen berg ' s taxonomy which was adopted in the Flora of China published in 1"
gemma-2-9b/gemmascope-res-16k,9630,267,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","the tablet is expected to become available in the US eventually . It will also be sold across Europe , Latin America , Southeast and Southwest Asia , CIS , Latin America , Africa , the Middle East , Japan and China . source : Samsung UPDATE : Our eagle - eyed readers have pointed out that the Samsung GAL AX Y Tab 7 . 0 Plus has a di aler icon on its home screen , which is a clear indication that it will be able to make phone calls like the old - school GAL AX Y Tab could . There also appears to be an ear piece above its display . Samsung pioneered the seven - inch tablet market"
gemma-2-9b/gemmascope-res-16k,9630,267,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","1 x FLAG - tag at its N terminus , was cloned by the flanking * Eco * RI cut sites into retro viral p Babe - p uro mammalian expression vector . Cell viability and caspase activity assays ---------------- ---------------- ---------- Vi ability of the cells was measured using ATP - based Cell T iter Glo assays ( Pro mega ) according to the manufacturer ' s instructions using a plate reader ( Bio Tek ' s Synergy H 1 , W ino oski , VT , USA ). All experiments were performed in trip licates . To further validate K DM 2 B phenotype , stable cell lines of sh K DM 2 B or sh Control cells were expanded for three"
gemma-2-9b/gemmascope-res-16k,9630,267,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Diagnosis of Thyroid Nod ules in Children and Adoles cents . Ultra sound elast ography is a non invasive method of imaging based on the estimation of the mechanical properties of tissue . Data in adults indicate that decreased flexibility in comparison to the surrounding healthy tissue is characteristic of malignancy ( in most thyroid carcin omas , except for follicular thyroid carcinoma ). The purpose of our study was to assess the deformation of thyroid nodules and to evaluate the usefulness of elast ography in predicting malignant thyroid nodules in adolescent patients . We examined 4 7 children with 6 2 thyroid nodules . All patients underwent elast ography and fine needle aspiration cyto logy ( FN AC ). Thirty - seven girls"
