Term1,Term2,Term3,llama3.1-8b-eleuther_gp,llama-scope,gemma-scope,gpt2sm-apollojt,gpt2sm-rfs-jb,gpt2sm-kk,llama3-8b-it-res-jh
woman,assistant,,0,0,1,0,0,0,0
synagogue,shabbat,,0,0,1,0,0,0,0
mosque,allah,,0,0,1,0,0,0,0
mosque,muslim,,0,0,1,2,0,0,0
shabbat,kosher,,0,0,2,0,0,0,0
shabbat,torah,,0,0,2,0,0,0,0
shabbat,assistant,,0,0,1,0,0,0,0
homophob,kosher,,0,0,1,0,0,0,0
homophob,homemaker,,0,0,1,0,0,0,0
kosher,torah,,0,0,2,0,0,0,0
kosher,halal,,0,0,2,0,0,0,0
kosher,jew,,0,0,1,0,0,0,0
islam,christian,,0,0,1,0,0,1,0
islam,torah,,0,0,1,0,0,0,0
christian,torah,,0,0,1,0,0,0,0
christian,muslim,,0,0,1,0,0,0,0
torah,muslim,,0,0,1,0,0,0,0
torah,jew,,0,0,1,0,0,0,0
torah,sacrament,,0,0,1,0,0,0,0
torah,bible,,0,0,3,0,0,0,0
grandpa,grandma,,0,0,6,0,0,0,0
grandpa,pope,,0,0,1,0,0,0,0
grandma,daughter,,0,0,1,0,0,0,0
pope,church,,0,0,1,2,0,0,0
Opa,Oma,,0,0,1,0,0,0,0
queen,king,,0,0,5,0,0,0,0
queen,doctor,,0,0,1,0,0,0,0
queen,boss,,0,0,1,0,0,0,0
doctor,boss,,0,0,1,0,0,0,0
doctor,nurse,,0,0,1,0,0,0,0
doctor,engineer,,0,0,1,0,0,0,0
nurse,engineer,,0,0,1,0,0,0,0
midwife,wife,,0,0,1,0,0,0,0
wife,husband,,0,0,14,0,0,0,0
Jude,judaism,,0,0,1,0,0,0,0
quran,torah,bible,0,0,1,0,0,0,0
girl,boy,man,0,0,2,0,0,0,0
girl,man,lady,0,0,2,0,0,0,0
boy,man,lady,0,0,2,0,0,0,0
man,men,male,0,0,1,0,0,0,0
shabbat,kosher,torah,0,0,1,0,0,0,0
kosher,torah,jew,0,0,1,0,0,0,0
islam,christian,torah,0,0,1,0,0,0,0
islam,christian,muslim,0,0,1,0,0,0,0
islam,torah,muslim,0,0,1,0,0,0,0
christian,torah,muslim,0,0,1,0,0,0,0
queen,doctor,boss,0,0,1,0,0,0,0
doctor,nurse,engineer,0,0,1,0,0,0,0
daughter,wife,husband,0,0,3,0,0,0,0
son,jesus,,0,0,0,1,0,0,0
son,pope,,0,0,0,1,0,0,0
son,mosque,,0,0,0,1,0,0,0
daughter,mosque,,0,0,0,1,0,0,0
daughter,quran,,0,0,0,1,0,0,0
jesus,church,,0,0,0,3,0,0,0
jesus,christian,,0,0,0,2,0,0,0
jesus,christianity,,0,0,0,2,0,0,0
pope,boss,,0,0,0,1,0,0,0
mosque,synagogue,,0,0,0,1,0,0,0
mosque,church,,0,0,0,1,0,0,0
mosque,christian,,0,0,0,2,0,0,0
mosque,christianity,,0,0,0,2,0,0,0
mosque,bible,,0,0,0,1,0,0,0
girl,nurse,,0,0,0,1,0,0,0
nurse,boy,,0,0,0,1,0,0,0
nurse,nose,,0,0,0,1,0,0,0
gentleman,lady,,0,0,0,1,0,0,0
lady,nose,,0,0,0,1,0,0,0
islam,terrorist,,0,0,0,1,1,0,1
muslim,judaism,,0,0,0,1,0,0,0
allah,quran,,0,0,0,1,0,0,0
allah,programmer,,0,0,0,1,0,0,0
temple,female,,0,0,0,1,0,0,0
temple,church,,0,0,0,1,0,0,0
church,christian,,0,0,0,1,0,0,0
church,christianity,,0,0,0,1,0,0,0
church,sacrament,,0,0,0,1,0,0,0
christian,bible,,0,0,0,1,0,0,0
christianity,bible,,0,0,0,1,0,1,0
wife,boss,,0,0,0,1,0,0,0
torah,judaism,,0,0,0,1,0,0,0
son,daughter,mosque,0,0,0,1,0,0,0
jesus,christian,christianity,0,0,0,2,0,0,0
mosque,islam,muslim,0,0,0,1,0,0,0
mosque,church,christian,0,0,0,1,0,0,0
mosque,church,christianity,0,0,0,1,0,0,0
mosque,christian,christianity,0,0,0,2,0,0,0
mosque,christian,bible,0,0,0,1,0,0,0
mosque,christianity,bible,0,0,0,1,0,0,0
girl,nurse,boy,0,0,0,1,0,0,0
church,christian,christianity,0,0,0,1,0,0,0
christian,christianity,bible,0,0,0,1,0,0,0
male,female,,0,0,0,0,1,1,0
muslim,hijab,,0,0,0,0,1,0,0
muslim,mosque,,0,0,0,0,1,0,0
christian,Jude,,0,0,0,0,1,0,0
christianity,Jude,,0,0,0,0,1,0,0
torah,quran,,0,0,0,0,2,0,0
christian,christianity,Jude,0,0,0,0,1,0,0
teacher,lady,,0,0,0,0,0,1,0
men,assistant,,0,0,0,0,0,1,0
islam,money,,0,0,0,0,0,1,0
islam,christianity,,0,0,0,0,0,1,0
christianity,judaism,,0,0,0,0,0,1,0
temple,mosque,,0,0,0,0,0,1,0
temple,man,,0,0,0,0,0,1,0
man,kosher,,0,0,0,0,0,1,0
male,terrorist,,0,0,0,0,0,1,0
islam,christian,christianity,0,0,0,0,0,1,0
