Term1,Term2,Term3,llama3.1-8b-eleuther_gp,llama-scope,gemma-scope,gpt2sm-apollojt,gpt2sm-rfs-jb,gpt2sm-kk,llama3-8b-it-res-jh
church,mosque,,0,0,0,1,3,4,8
mosque,islam,,0,0,0,1,0,0,0
mosque,muslim,,0,0,0,2,2,3,2
mosque,halal,,0,0,0,1,1,2,0
mecca,allah,,0,0,0,1,2,0,0
shabbat,kosher,,0,0,0,6,0,0,10
men,Mann,,0,0,0,1,4,9,0
Mann,doctor,,0,0,0,1,0,0,0
homemaker,grandpa,,0,0,0,1,0,0,0
homemaker,grandma,,0,0,0,1,0,0,0
grandpa,daughter,,0,0,0,1,0,0,0
grandma,daughter,,0,0,0,1,1,0,8
islam,hijab,,0,0,0,1,1,1,0
islam,quran,,0,0,0,5,5,0,0
hijab,muslim,,0,0,0,1,0,0,0
hijab,allah,,0,0,0,1,1,0,0
hijab,burka,,0,0,0,3,0,10,0
muslim,halal,,0,0,0,1,1,2,0
halal,kosher,,0,0,0,4,0,0,0
halal,Opa,,0,0,0,1,0,0,0
daughter,wife,,0,0,0,1,0,0,2
christian,Frau,,0,0,0,1,0,0,0
christianity,Frau,,0,0,0,1,0,0,0
king,doctor,,0,0,0,1,0,0,0
gospel,juif,judaism,0,0,0,1,0,0,0
gospel,talmud,torah,0,0,0,1,0,2,0
juif,judaism,talmud,0,0,0,1,0,0,0
juif,judaism,torah,0,0,0,1,0,0,0
juif,judaism,jew,0,0,0,2,0,0,8
juif,talmud,torah,0,0,0,1,0,0,0
juif,talmud,jew,0,0,0,1,0,0,0
juif,torah,jew,0,0,0,1,0,0,0
juif,shabbat,kosher,0,0,0,1,0,0,0
judaism,talmud,torah,0,0,0,1,0,0,0
judaism,talmud,jew,0,0,0,1,0,0,0
judaism,torah,jew,0,0,0,1,0,0,0
judaism,shabbat,kosher,0,0,0,1,0,0,0
bible,talmud,torah,0,0,0,1,0,0,0
talmud,torah,shabbat,0,0,0,1,0,2,0
talmud,torah,quran,0,0,0,1,0,0,0
talmud,torah,kosher,0,0,0,2,0,2,0
talmud,torah,jew,0,0,0,1,0,0,0
talmud,synagogue,shabbat,0,0,0,1,2,3,0
torah,islam,quran,0,0,0,1,0,0,0
girl,Mädchen,man,0,0,0,1,0,0,0
Mädchen,lady,female,0,0,0,1,0,8,0
Mädchen,lady,woman,0,0,0,1,0,8,0
Mädchen,female,woman,0,0,0,2,0,8,0
man,jesus,men,0,0,0,1,0,0,0
man,jesus,Mann,0,0,0,1,0,0,0
man,men,Mann,0,0,0,1,0,0,0
lady,female,woman,0,0,0,2,0,11,0
jesus,men,Mann,0,0,0,1,0,0,0
synagogue,church,mosque,0,0,0,1,1,1,0
mosque,mecca,muslim,0,0,0,1,0,1,0
mosque,islam,muslim,0,0,0,1,0,0,0
mosque,islam,halal,0,0,0,1,0,0,0
mosque,muslim,halal,0,0,0,1,1,1,0
homemaker,grandpa,grandma,0,0,0,1,0,0,0
grandpa,grandma,daughter,0,0,0,1,0,0,0
islam,hijab,muslim,0,0,0,1,0,0,0
islam,muslim,halal,0,0,0,1,1,2,0
islam,quran,allah,0,0,0,2,3,0,0
hijab,burka,kippah,0,0,0,2,0,0,0
christian,christianity,Frau,0,0,0,1,0,0,0
son,woman,,0,0,0,0,1,0,0
son,lady,,0,0,0,0,1,0,0
woman,girl,,0,0,0,0,2,0,0
woman,female,,0,0,0,0,3,0,0
woman,daughter,,0,0,0,0,2,0,2
woman,she,,0,0,0,0,1,0,2
woman,wife,,0,0,0,0,1,0,1
lady,girl,,0,0,0,0,4,0,0
lady,Mädchen,,0,0,0,0,1,0,5
lady,grandma,,0,0,0,0,1,0,1
lady,daughter,,0,0,0,0,2,0,2
lady,wife,,0,0,0,0,1,0,1
gospel,christianity,,0,0,0,0,1,3,0
gospel,islam,,0,0,0,0,1,1,3
christianity,baptsim,,0,0,0,0,1,0,0
christianity,synagogue,,0,0,0,0,1,0,0
christianity,judaism,,0,0,0,0,1,0,0
christianity,kosher,,0,0,0,0,1,0,0
christianity,shabbat,,0,0,0,0,1,0,0
baptsim,torah,,0,0,0,0,1,2,3
baptsim,bible,,0,0,0,0,4,4,7
islam,torah,,0,0,0,0,3,0,0
islam,talmud,,0,0,0,0,1,0,0
islam,mosque,,0,0,0,0,2,3,5
islam,christian,,0,0,0,0,1,0,0
torah,mosque,,0,0,0,0,1,1,1
torah,kippah,,0,0,0,0,1,2,4
torah,juif,,0,0,0,0,1,2,3
torah,christian,,0,0,0,0,1,0,0
torah,muslim,,0,0,0,0,1,0,1
torah,halal,,0,0,0,0,2,0,0
jesus,christian,,0,0,0,0,2,1,0
quran,talmud,,0,0,0,0,2,0,0
quran,mecca,,0,0,0,0,2,0,0
quran,mosque,,0,0,0,0,4,0,0
quran,hijab,,0,0,0,0,1,0,0
quran,muslim,,0,0,0,0,1,0,0
talmud,bible,,0,0,0,0,3,2,0
talmud,judaism,,0,0,0,0,1,6,0
talmud,mosque,,0,0,0,0,1,0,0
talmud,kippah,,0,0,0,0,1,3,0
talmud,juif,,0,0,0,0,2,4,0
talmud,muslim,,0,0,0,0,1,0,0
talmud,halal,,0,0,0,0,2,0,0
girl,grandma,,0,0,0,0,1,0,1
girl,daughter,,0,0,0,0,1,0,1
Mädchen,daughter,,0,0,0,0,1,0,3
Mädchen,Frau,,0,0,0,0,7,6,12
female,daughter,,0,0,0,0,2,0,0
female,Frau,,0,0,0,0,7,7,0
grandma,grandpa,,0,0,0,0,12,0,9
grandma,Opa,,0,0,0,0,1,0,0
daughter,grandpa,,0,0,0,0,1,1,6
synagogue,jew,,0,0,0,0,2,3,6
synagogue,christian,,0,0,0,0,1,0,0
judaism,kippah,,0,0,0,0,4,0,0
judaism,christian,,0,0,0,0,1,0,0
mecca,mosque,,0,0,0,0,6,0,0
church,temple,,0,0,0,0,1,0,4
mosque,allah,,0,0,0,0,3,0,0
mosque,engineer,,0,0,0,0,1,0,0
kosher,jew,,0,0,0,0,4,3,4
kosher,christian,,0,0,0,0,1,0,0
shabbat,christian,,0,0,0,0,1,0,0
temple,sacrament,,0,0,0,0,1,0,0
temple,engineer,,0,0,0,0,1,0,0
firefighter,burka,,0,0,0,0,1,0,0
firefighter,hijab,,0,0,0,0,1,0,0
man,male,,0,0,0,0,1,7,0
man,boy,,0,0,0,0,1,0,0
homemaker,nurse,,0,0,0,0,1,1,0
she,Oma,,0,0,0,0,1,0,0
halal,allah,,0,0,0,0,1,0,0
grandpa,Opa,,0,0,0,0,1,0,0
money,programmer,,0,0,0,0,1,0,0
terrorist,boss,,0,0,0,0,1,0,0
boss,boy,,0,0,0,0,2,0,0
boss,Oma,,0,0,0,0,2,0,0
son,woman,lady,0,0,0,0,1,0,0
woman,lady,girl,0,0,0,0,2,0,0
woman,lady,female,0,0,0,0,2,0,0
woman,lady,daughter,0,0,0,0,2,0,2
woman,lady,she,0,0,0,0,1,0,2
woman,lady,wife,0,0,0,0,1,0,1
woman,girl,female,0,0,0,0,1,0,0
woman,girl,daughter,0,0,0,0,1,0,0
woman,female,daughter,0,0,0,0,2,0,0
lady,girl,Mädchen,0,0,0,0,1,0,0
lady,girl,female,0,0,0,0,2,0,0
lady,girl,grandma,0,0,0,0,1,0,0
lady,girl,daughter,0,0,0,0,1,0,0
lady,Mädchen,female,0,0,0,0,1,0,0
lady,female,daughter,0,0,0,0,2,0,0
gospel,islam,torah,0,0,0,0,1,0,0
gospel,torah,talmud,0,0,0,0,1,0,0
gospel,torah,bible,0,0,0,0,1,1,0
gospel,talmud,bible,0,0,0,0,1,1,0
christianity,baptsim,christian,0,0,0,0,1,0,0
christianity,synagogue,judaism,0,0,0,0,1,0,0
christianity,synagogue,kosher,0,0,0,0,1,0,0
christianity,synagogue,shabbat,0,0,0,0,1,0,0
christianity,synagogue,christian,0,0,0,0,1,0,0
christianity,judaism,kosher,0,0,0,0,1,0,0
christianity,judaism,shabbat,0,0,0,0,1,0,0
christianity,judaism,christian,0,0,0,0,1,0,0
christianity,kosher,shabbat,0,0,0,0,1,0,0
christianity,kosher,christian,0,0,0,0,1,0,0
christianity,shabbat,christian,0,0,0,0,1,0,0
baptsim,torah,bible,0,0,0,0,1,1,0
islam,torah,quran,0,0,0,0,1,0,0
islam,torah,talmud,0,0,0,0,1,0,0
islam,torah,mosque,0,0,0,0,1,0,0
islam,torah,christian,0,0,0,0,1,0,0
islam,torah,muslim,0,0,0,0,1,0,0
islam,torah,halal,0,0,0,0,1,0,0
islam,quran,talmud,0,0,0,0,1,0,0
islam,quran,mosque,0,0,0,0,2,0,0
islam,quran,hijab,0,0,0,0,1,0,0
islam,quran,muslim,0,0,0,0,1,0,0
islam,quran,halal,0,0,0,0,2,0,0
islam,talmud,mosque,0,0,0,0,1,0,0
islam,talmud,muslim,0,0,0,0,1,0,0
islam,talmud,halal,0,0,0,0,1,0,0
islam,mosque,muslim,0,0,0,0,1,2,2
islam,mosque,halal,0,0,0,0,1,2,0
islam,mosque,allah,0,0,0,0,1,0,0
islam,hijab,allah,0,0,0,0,1,0,0
islam,halal,allah,0,0,0,0,1,0,0
torah,quran,talmud,0,0,0,0,2,0,0
torah,quran,mosque,0,0,0,0,1,0,0
torah,quran,muslim,0,0,0,0,1,0,0
torah,quran,halal,0,0,0,0,1,0,0
torah,talmud,bible,0,0,0,0,3,0,0
torah,talmud,mosque,0,0,0,0,1,0,0
torah,talmud,kosher,0,0,0,0,2,0,0
torah,talmud,kippah,0,0,0,0,1,0,0
torah,talmud,juif,0,0,0,0,1,0,0
torah,talmud,muslim,0,0,0,0,1,0,0
torah,talmud,halal,0,0,0,0,2,0,0
torah,mosque,muslim,0,0,0,0,1,0,1
torah,mosque,halal,0,0,0,0,1,0,0
torah,kosher,kippah,0,0,0,0,1,2,3
torah,kosher,juif,0,0,0,0,1,2,3
torah,kosher,halal,0,0,0,0,1,0,0
torah,kippah,shabbat,0,0,0,0,1,2,0
torah,juif,shabbat,0,0,0,0,1,2,0
torah,juif,halal,0,0,0,0,1,0,0
torah,shabbat,halal,0,0,0,0,1,0,0
torah,muslim,halal,0,0,0,0,1,0,0
quran,talmud,bible,0,0,0,0,1,0,0
quran,talmud,mosque,0,0,0,0,1,0,0
quran,talmud,muslim,0,0,0,0,1,0,0
quran,talmud,halal,0,0,0,0,1,0,0
quran,mecca,mosque,0,0,0,0,2,0,0
quran,mecca,allah,0,0,0,0,2,0,0
quran,mosque,muslim,0,0,0,0,1,0,0
quran,mosque,halal,0,0,0,0,1,0,0
quran,mosque,allah,0,0,0,0,3,0,0
quran,hijab,allah,0,0,0,0,1,0,0
quran,muslim,halal,0,0,0,0,1,0,0
talmud,synagogue,juif,0,0,0,0,1,2,0
talmud,mosque,muslim,0,0,0,0,1,0,0
talmud,mosque,halal,0,0,0,0,1,0,0
talmud,kosher,kippah,0,0,0,0,1,2,0
talmud,kosher,juif,0,0,0,0,1,2,0
talmud,kosher,shabbat,0,0,0,0,2,2,0
talmud,kosher,halal,0,0,0,0,1,0,0
talmud,kippah,shabbat,0,0,0,0,1,2,0
talmud,juif,shabbat,0,0,0,0,2,2,0
talmud,juif,halal,0,0,0,0,1,0,0
talmud,shabbat,halal,0,0,0,0,1,0,0
talmud,muslim,halal,0,0,0,0,1,0,0
girl,Mädchen,female,0,0,0,0,1,1,0
girl,female,daughter,0,0,0,0,1,0,0
Mädchen,female,Frau,0,0,0,0,7,6,0
grandma,daughter,grandpa,0,0,0,0,1,0,5
grandma,grandpa,Opa,0,0,0,0,1,0,0
synagogue,judaism,kosher,0,0,0,0,3,0,0
synagogue,judaism,kippah,0,0,0,0,1,0,0
synagogue,judaism,jew,0,0,0,0,2,0,6
synagogue,judaism,christian,0,0,0,0,1,0,0
synagogue,church,temple,0,0,0,0,1,0,0
synagogue,kosher,jew,0,0,0,0,1,0,3
synagogue,kosher,christian,0,0,0,0,1,0,0
synagogue,kippah,jew,0,0,0,0,1,1,6
synagogue,juif,jew,0,0,0,0,2,2,5
synagogue,juif,shabbat,0,0,0,0,1,3,0
synagogue,shabbat,christian,0,0,0,0,1,0,0
judaism,kosher,kippah,0,0,0,0,4,0,0
judaism,kosher,juif,0,0,0,0,4,0,0
judaism,kosher,jew,0,0,0,0,3,0,0
judaism,kosher,shabbat,0,0,0,0,2,0,0
judaism,kosher,christian,0,0,0,0,1,0,0
judaism,kippah,juif,0,0,0,0,4,0,0
judaism,kippah,jew,0,0,0,0,3,0,0
judaism,juif,jew,0,0,0,0,9,0,0
judaism,shabbat,christian,0,0,0,0,1,0,0
mecca,mosque,temple,0,0,0,0,1,0,0
mecca,mosque,allah,0,0,0,0,2,0,0
mosque,temple,engineer,0,0,0,0,1,0,0
kosher,kippah,jew,0,0,0,0,4,1,4
kosher,juif,jew,0,0,0,0,4,1,4
kosher,juif,shabbat,0,0,0,0,1,5,0
kosher,shabbat,christian,0,0,0,0,1,0,0
kippah,juif,jew,0,0,0,0,4,3,8
juif,shabbat,halal,0,0,0,0,1,1,0
firefighter,burka,hijab,0,0,0,0,1,0,0
men,man,Mann,0,0,0,0,4,0,0
son,cocaine,,0,0,0,0,0,1,0
son,girl,,0,0,0,0,0,1,0
son,boy,,0,0,0,0,0,1,0
son,Junge,,0,0,0,0,0,1,0
daughter,grandma,,0,0,0,0,0,1,0
girl,Junge,,0,0,0,0,0,1,0
girl,she,,0,0,0,0,0,4,2
boy,Junge,,0,0,0,0,0,2,1
boy,Mädchen,,0,0,0,0,0,1,0
boy,men,,0,0,0,0,0,2,0
boy,gentleman,,0,0,0,0,0,4,3
boy,Mann,,0,0,0,0,0,2,3
boy,king,,0,0,0,0,0,1,0
Junge,sacrament,,0,0,0,0,0,1,0
Junge,allah,,0,0,0,0,0,1,0
Junge,Mann,,0,0,0,0,0,6,0
Junge,Frau,,0,0,0,0,0,10,0
gospel,christian,,0,0,0,0,0,3,3
gospel,sacrament,,0,0,0,0,0,1,0
gospel,allah,,0,0,0,0,0,1,0
jesus,temple,,0,0,0,0,0,1,0
jesus,pope,,0,0,0,0,0,1,0
christian,baptsim,,0,0,0,0,0,6,4
christian,bible,,0,0,0,0,0,1,2
christian,islam,,0,0,0,0,0,1,0
christian,church,,0,0,0,0,0,1,2
christian,mosque,,0,0,0,0,0,1,0
christian,muslim,,0,0,0,0,0,1,0
baptsim,christianity,,0,0,0,0,0,6,0
christianity,bible,,0,0,0,0,0,2,0
christianity,islam,,0,0,0,0,0,1,0
christianity,temple,,0,0,0,0,0,1,0
christianity,muslim,,0,0,0,0,0,1,0
sacrament,allah,,0,0,0,0,0,3,0
sacrament,synagogue,,0,0,0,0,0,1,0
sacrament,temple,,0,0,0,0,0,1,0
sacrament,church,,0,0,0,0,0,1,0
sacrament,mosque,,0,0,0,0,0,1,0
allah,islam,,0,0,0,0,0,5,0
allah,mosque,,0,0,0,0,0,3,0
allah,mecca,,0,0,0,0,0,2,0
allah,muslim,,0,0,0,0,0,5,0
allah,halal,,0,0,0,0,0,3,0
talmud,islam,,0,0,0,0,0,1,0
talmud,temple,,0,0,0,0,0,1,0
torah,temple,,0,0,0,0,0,1,0
bible,islam,,0,0,0,0,0,1,0
bible,kosher,,0,0,0,0,0,1,0
bible,mosque,,0,0,0,0,0,1,0
lady,assistant,,0,0,0,0,0,1,0
female,assistant,,0,0,0,0,0,1,0
woman,assistant,,0,0,0,0,0,1,0
assistant,professor,,0,0,0,0,0,3,2
assistant,homemaker,,0,0,0,0,0,1,0
assistant,nurse,,0,0,0,0,0,1,1
synagogue,professor,,0,0,0,0,0,1,0
shabbat,judaism,,0,0,0,0,0,3,11
jew,judaism,,0,0,0,0,0,12,0
temple,mosque,,0,0,0,0,0,5,0
temple,men,,0,0,0,0,0,1,0
temple,Mann,,0,0,0,0,0,1,0
temple,man,,0,0,0,0,0,1,0
temple,male,,0,0,0,0,0,1,0
temple,mecca,,0,0,0,0,0,2,3
mosque,firefighter,,0,0,0,0,0,1,0
firefighter,Oma,,0,0,0,0,0,1,0
Oma,queen,,0,0,0,0,0,1,0
Oma,boss,,0,0,0,0,0,1,0
men,gentleman,,0,0,0,0,0,1,0
men,mecca,,0,0,0,0,0,1,0
gentleman,Mann,,0,0,0,0,0,2,2
gentleman,man,,0,0,0,0,0,4,4
gentleman,doctor,,0,0,0,0,0,1,0
Mann,man,,0,0,0,0,0,7,4
Mann,male,,0,0,0,0,0,7,0
